
==============================================================================
SCALING  —  generous cap: how peak RSS and runtime grow with dataset size
==============================================================================

full scan + aggregate over payload  [r_full]
     source |       polars-lance |     polars-pylance | ratio
      15.7G |                n/a |       0.3s / 0.25G | 
      23.6G |                n/a |       0.4s / 0.24G | 
      47.7G |                n/a |       0.8s / 0.28G | 
      95.4G |                n/a |       1.7s / 0.27G | 
     190.7G |                n/a |       3.1s / 0.28G | 

==============================================================================
FIXED-BUDGET  —  memory pinned, data grown past it: does the job finish?
==============================================================================

full scan + aggregate over payload  [r_full]
     source |       polars-lance |     polars-pylance | ratio
       1.0G |       0.6s / 1.14G |       0.7s / 0.47G | 1.13x time, 0.41x mem
       2.0G |       1.2s / 1.15G |       1.4s / 0.47G | 1.16x time, 0.41x mem
       3.9G |       2.3s / 1.20G |       2.6s / 0.52G | 1.13x time, 0.44x mem
       7.9G |       4.7s / 1.15G |       5.2s / 0.55G | 1.10x time, 0.47x mem
      15.7G |       9.2s / 1.19G |      10.5s / 0.59G | 1.14x time, 0.49x mem
      23.6G |      14.1s / 1.22G |      16.4s / 0.57G | 1.17x time, 0.47x mem
      47.7G |      29.7s / 1.29G |      35.3s / 0.58G | 1.19x time, 0.45x mem
      95.4G |      60.3s / 1.31G |      71.1s / 0.58G | 1.18x time, 0.44x mem
     190.7G |     122.1s / 1.46G |     143.2s / 0.60G | 1.17x time, 0.41x mem

write filtered projection  [w_sink]
     source |       polars-lance |     polars-pylance | ratio
       1.0G |       1.8s / 1.43G |       0.5s / 1.15G | 0.28x time, 0.81x mem
       2.0G |       2.7s / 2.52G |       0.9s / 1.61G | 0.32x time, 0.64x mem
       3.9G |       6.5s / 4.67G |       1.5s / 2.31G | 0.23x time, 0.50x mem
       7.9G |            **OOM** |       5.8s / 3.50G | 
      15.7G |            **OOM** |       8.4s / 4.63G | 
      23.6G |            **OOM** |      13.0s / 4.36G | 
      47.7G |            **OOM** |      27.8s / 3.47G | 
      95.4G |            **OOM** |      57.3s / 4.93G | 
     190.7G |            **OOM** |     115.0s / 6.11G | 
